ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
CYP,196,Cyprus,352,7.10785913,80.434,1331370,Asia,0.202,66.6694829407584,33.3305170592416,2.1898040492270026,1.790141064862793,0.6545454545454545,NA,8.87060547,0.908,NA,NA,NA,81.912741,5,NA,NA,NA,NA,5.65,0.651,31370.55078125,50623.6953125,47557112846.10284,26.2,NA,1,0.3811357
CZE,203,Czechia,316,7.45911407,78.92926829268293,10672118,Europe,0.159,72.6967638379524,27.3032361620476,1.9323857561690707,1.7540305637967384,0.8112231469975029,NA,8.79904652,0.911,NA,NA,NA,77.07730392,0,NA,NA,NA,9.2,7.0375,0.789,20627.34865101097,48390.66167867495,516430851532.8972,21.8,NA,1,0.9957469
BEN,204,Benin,434,0.5155009,60.475,13759501,Africa,0.183,50.9627000010887,49.0372999989113,NA,NA,NA,51.3800010681152,2.67981386,0.512,11.9263122126222,8.94521003509078,14.9635052521912,64.01268515,6,NA,NA,NA,5.483333333333333,NA,0.293,1218.496689290907,3588.3251993814706,49373564169.21455,27.2,NA,3,-0.4373008
DNK,208,Denmark,390,7.95537901,81.3048780487805,5903037,Europe,0.002,88.3880239837703,11.611976016229704,NA,NA,NA,NA,9.4758625,0.959,NA,NA,NA,81.18400442,0,NA,NA,4809,NA,8.904166666666667,0.89,59108.74493740683,69475.31986508831,410115383750.4513,24.5,NA,1,0.8416401
DMA,212,Dominica,54,4.50666952,71.081,66826,Americas,NA,72.682648635692,27.317351364308,NA,NA,NA,NA,6.31969738,0.759,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,8590.922090698159,17550.800994646645,1172849827.268257,NA,NA,NA,1.2397365
DOM,214,Dominican Republic (the),42,2.67142582,74.211,11230734,Americas,0.61,72.4203155643711,27.579684435628906,NA,NA,NA,93.7022375646963,4.57254791,0.778,48.3248563843685,33.3490888514218,51.2097013707521,73.32102758,2,NA,NA,NA,7.25,NA,0.437,8698.135920943952,22986.95808104995,258160411677.4224,28.3,NA,2,0.4914554
ECU,218,Ecuador,130,4.59872866,76.577,17823897,Americas,0.626,63.0901835932266,36.9098164067734,NA,NA,NA,96.2600021362305,7.53457022,0.773,90.3402618264064,82.753541708762,94.5031478252715,73.95801182,2,NA,NA,1098,6.6,NA,0.5,6107.494950065426,14186.63885446246,252861189718.13684,34.3,3,3,-0.2336288
SLV,222,El Salvador,92,6.12128019,71.969,6280319,Americas,0.747,74.1465021298679,25.853497870132102,NA,NA,NA,89.3518526572018,9.84079742,0.674,88.5296151489223,87.8093188590435,88.7727097171248,71.66703998,2,NA,NA,NA,5.266666666666667,NA,0.118,4355.960838883592,11085.617807468843,69621216142.98492,28.7,4,4,-0.0998814
GNQ,226,Equatorial Guinea,411,0.76469702,63.355,1803545,Africa,0.858,70.8910029445467,29.1089970554533,NA,NA,NA,NA,2.91350007,0.677,NA,NA,NA,61.60542301,2,NA,NA,NA,2.8833333333333333,NA,0.048,5524.243124185794,16932.77068271548,30539013900.958088,29.1,2,4,-0.3481526
ETH,231,Ethiopia,530,0.72076863,66.897,125384287,Africa,0.572,22.7367687225342,77.26323127746579,1.4498736310025273,1.6666666666666667,0.4453924914675768,60.4599990844727,2.85274577,0.494,6.46634094582705,3.68982431997438,15.9422251562878,67.83909086,0,NA,NA,NA,3.7166666666666663,NA,0.134,811.177729326201,2655.5927674372947,332969605707.482,24.8,5,5,-1.8659545
ERI,232,Eritrea,531,0.90046018,67.789,3409447,Africa,0.702,34.8469276428223,65.1530723571777,NA,NA,NA,NA,3.87447667,0.499,NA,NA,NA,63.57308435,5,NA,NA,NA,2.0166666666666666,NA,0.012,NA,NA,NA,NA,5,5,-1.0696541
EST,233,Estonia,366,5.22467852,77.84390243902439,1348840,Europe,0.032,70.4892333736738,29.5107666263262,NA,NA,NA,NA,6.98701143,0.902,NA,NA,NA,77.13131363,0,NA,NA,NA,9.75,8.858333333333333,0.854,21023.299493724604,43128.632771362725,58173625027.3249,24.4,NA,1,0.8742633
FJI,242,Fiji,950,3.18935871,67.148,919422,Oceania,0.351,58.1352701465266,41.8647298534734,NA,NA,NA,NA,4.00910091,0.726,86.5284422986827,80.1314539712876,91.1173691481641,65.50058445,5,NA,NA,NA,NA,NA,0.266,5291.516931235716,12118.31827100818,11141848421.366882,24.2,NA,1,0.7825529999999999
FIN,246,Finland,375,7.89401913,81.1878048780488,5556106,Europe,0.011,73.6967597835949,26.3032402164051,NA,NA,NA,NA,9.6589222,0.946,NA,NA,NA,81.53419484,0,1191,1331,2659,NA,9.145833333333332,0.833,46016.149210392905,57068.30564780736,317077555419.61633,23.1,NA,1,1.0892287
FRA,250,France,220,8.9622221,82.12926829268294,68184457,Europe,0.05,78.7591921123356,21.240807887664403,NA,NA,NA,NA,11.8819046,0.916,NA,NA,NA,81.92274175,0,1575.7118784734134,1757.9169542442246,4584,NA,7.270833333333332,0.808,38868.330333055725,53673.81374064215,3659719845024.824,24.6,1,2,0.0198376
DJI,262,Djibouti,522,1.03265727,65.54,1137096,Africa,0.675,72.6109938538856,27.3890061461144,NA,NA,NA,NA,2.49675012,0.51,50.5601895156256,11.6048736518655,61.3054543382596,64.87227149,6,NA,NA,NA,3.6166666666666663,NA,0.123,2959.786730112679,6180.679985946064,7028026489.299326,NA,NA,NA,-0.4774121
GAB,266,Gabon,481,1.83213091,67.713,2430747,Africa,0.83,91.2243355459988,8.775664454001202,NA,NA,NA,88.8600006103516,2.85591531,0.73,48.0676854136465,31.6362697634824,49.7455054890492,65.09380891,6,NA,NA,NA,4.7,NA,0.206,6527.482079004042,18662.04979706208,45362721558.05926,NA,NA,2,-0.1324826
GEO,268,Georgia,372,3.06025243,74.141,3712502,Asia,0.152,60.0101622679115,39.9898377320885,NA,NA,NA,99.5699996948242,7.25569582,0.838,91.7573444423974,87.4433712232607,94.597914199697,71.24038597,0,NA,NA,NA,5.65,NA,0.463,5736.304495785975,20966.528039113447,77838277278.26476,25.2,2,3,-0.1000347
GMB,270,Gambia (the),420,1.52435625,64.859,2636470,Africa,0.275,63.2869880996278,36.7130119003722,NA,NA,NA,51.6399993896484,3.41435836,0.519,12.9423339974941,11.9348389789712,13.5126985038933,64.21396887,5,NA,NA,NA,7.2,NA,0.5,710.6869792163163,2863.1804982985946,7548689488.349296,30.5,NA,2,0.1344853
DEU,276,Germany,255,10.12543774,80.6080487804878,83177813,Europe,0.018,81.7867852780995,18.2132147219005,NA,NA,NA,NA,12.60513115,0.955,NA,NA,NA,80.49140555,0,1492.435502314554,1511.189116351264,4758,NA,8.733333333333333,0.805,44817.13163313894,63676.08782180801,5296437725413.924,25,1,1,0.5284799
GHA,288,Ghana,452,2.05082273,65.246,33149152,Africa,0.638,57.250609602871,42.749390397129,NA,NA,NA,76.4899978637695,3.6993649,0.625,44.1094627314564,32.4540466954725,52.3387450939331,66.10178519,5,NA,NA,1126.6631016042784,7.85,NA,0.56,2067.208959107662,6728.45414012286,223042549015.962,NA,NA,3,-0.1877453
KIR,296,Kiribati,946,8.48891449,66.269,130469,Oceania,NA,60.5739126559419,39.4260873440581,NA,NA,NA,98.6322966077083,10.49855042,0.642,62.0982844133081,58.5785653218414,64.747235915776,60.87345633,5,NA,NA,NA,NA,NA,NA,1948.2431223862504,3107.7760464268717,405468433.0012675,22.8,NA,NA,1.2429196
GRC,300,Greece,350,4.59715986,80.78780487804879,10436882,Europe,0.253,78.5502190980809,21.449780901919095,NA,NA,NA,NA,8.49983692,0.897,NA,NA,NA,79.59785025,0,NA,NA,1972,NA,7.016666666666667,0.61,20552.32232796846,35831.344178120526,373967511088.4309,25.7,2,2,0.236947
GRD,308,Grenada,55,1.99874532,75.151,116913,Americas,NA,36.3688840183487,63.6311159816513,NA,NA,NA,NA,4.94846392,0.789,NA,NA,NA,72.77322454,5,NA,NA,NA,NA,NA,NA,9406.193376432257,16376.427309959448,1914617246.0892887,NA,NA,NA,1.2048361
GTM,320,Guatemala,90,2.42621732,71.206,17847877,Americas,0.762,55.2581228215265,44.7418771784735,2.0500927643784785,1.892107892107892,0.3946830265848671,83.0299987792969,7.44098806,0.655,76.7664212338674,69.927234256639,83.2229514012423,68.69573697,2,NA,NA,NA,3.9,NA,0.309,4385.148911780473,12147.930968407369,216814777728.6256,34.1,2,2,-0.3005447
GIN,324,Guinea,438,0.72898859,60.432,14055137,Africa,0.853,37.2384967469106,62.7615032530894,NA,NA,NA,NA,3.95847702,0.498,20.6360956841268,13.0770064560231,33.1446726430004,61.26251027,6,NA,NA,NA,4.366666666666666,NA,0.081,987.5025014653368,3792.0106883627727,53297229730.403084,NA,3,3,-0.8136673999999999
GUY,328,Guyana,110,2.15520215,69.888,821637,Americas,0.39,26.4536735068183,73.5463264931817,NA,NA,NA,85.6399993896484,3.00636959,0.763,83.4725772733905,85.4146158652434,78.2277276283338,66.0777533,5,NA,NA,NA,NA,NA,0.341,17365.333642864207,37068.199382758845,30456604136.251827,NA,NA,NA,0.210713
HTI,332,Haiti,41,0.34204665,63.948,11503606,Americas,0.833,53.8524949966907,46.1475050033093,NA,NA,NA,NA,3.20848918,0.552,22.5826848478496,15.463105042107,27.5671173204685,62.4563858,6,NA,NA,NA,2.4833333333333334,NA,0.143,1256.7214359244783,3057.428408265015,35171451781.88788,NA,3,4,-0.9470024
HND,340,Honduras,91,3.3738544,72.715,10463872,Americas,0.768,57.8364689017254,42.1635310982746,NA,NA,NA,88.2764147235016,8.28209972,0.643,84.9635582849766,84.3253482204411,85.3961695151056,68.96309289,2,NA,NA,NA,4.75,NA,0.381,2482.2238490471364,6352.587101777318,66472658301.84882,33,3,3,-0.4781621
HUN,348,Hungary,310,4.83920336,75.86829268292684,9605074,Europe,0.505,70.1585064243445,29.841493575655505,NA,NA,NA,NA,6.68981791,0.867,NA,NA,NA,74.39546955,0,NA,NA,2681,6.3,3.220833333333333,0.335,16487.797393594446,40610.971136823806,390071382981.0568,NA,2,1,0.6701403
ISL,352,Iceland,395,7.86343193,82.11951219512197,382003,Europe,0.022,94.1787071228028,5.821292877197195,NA,NA,NA,NA,9.28593922,0.964,NA,NA,NA,82.57766731,0,NA,NA,2289.473346420527,NA,6.166666666666666,0.742,57606.87560948817,65380.31730493243,24975477351.436104,22.4,NA,1,1.2672872
